N	Obs	Amostra	Peso
1	1	1	170.384
2	2	1	169.817
3	3	1	170.667
4	1	2	169.533
5	2	2	169.817
6	3	2	170.384
7	1	3	170.951
8	2	3	170.667
9	3	3	170.667
10	1	4	170.667
11	2	4	170.951
12	3	4	170.667
13	1	5	170.1
14	2	5	169.817
15	3	5	170.384
16	1	6	169.817
17	2	6	170.1
18	3	6	170.1
19	1	7	170.667
20	2	7	170.384
21	3	7	170.1
22	1	8	170.384
23	2	8	170.951
24	3	8	170.384
25	1	9	170.384
26	2	9	170.667
27	3	9	170.1
28	1	10	170.1
29	2	10	170.667
30	3	10	170.384
31	1	11	171.234
32	2	11	170.667
33	3	11	170.951
34	1	12	170.667
35	2	12	170.384
36	3	12	170.1
37	1	13	170.951
38	2	13	170.667
39	3	13	171.234
40	1	14	170.667
41	2	14	170.667
42	3	14	170.951
43	1	15	170.951
44	2	15	170.667
45	3	15	170.951
46	1	16	170.951
47	2	16	170.1
48	3	16	170.384
49	1	17	171.234
50	2	17	170.667
51	3	17	170.951
52	1	18	171.518
53	2	18	170.667
54	3	18	171.234
55	1	19	170.951
56	2	19	171.234
57	3	19	170.384
58	1	20	170.667
59	2	20	170.667
60	3	20	170.667
61	1	21	171.234
62	2	21	171.518
63	3	21	170.951
64	1	22	171.801
65	2	22	170.951
66	3	22	171.234
67	1	23	171.518
68	2	23	171.234
69	3	23	170.667
70	1	24	171.518
71	2	24	171.234
72	3	24	170.951
73	1	25	171.234
74	2	25	171.801
75	3	25	171.518
76	1	26	171.518
77	2	26	170.951
78	3	26	171.234
79	1	27	170.951
80	2	27	171.234
81	3	27	170.951
82	1	28	171.801
83	2	28	171.801
84	3	28	171.518
