Producao.Total	Perda.Total	Media.Diaria	Perda
37213	4032	130	11
33767	3297	118	10
38540	3403	110	9
36588	4738	158	13
39984	4324	139	11
33902	4783	159	14
36187	7124	230	20
39209	9844	318	25
36121	5927	198	16
44997	6537	211	15
37974	6238	208	16
40726	6400	206	16
42001	5760	186	14
37422	5644	195	15
42258	6490	209	15
27716	6281	209	23
42857	16127	520	38
44480	9463	315	21
42547	7233	233	17
43833	6648	214	15
40902	7272	242	18
44605	6983	225	16
43026	7885	263	18
44834	9041	292	20
43755	8334	269	19
38334	10415	359	27
40754	10283	332	25
36805	7676	256	21
42597	6058	195	14
39327	7728	258	20
38301	7173	231	19
39324	6531	211	17
35214	7453	248	21
44506	6829	220	15
37587	7776	259	21
36037	7053	228	20
34122	4240	137	12
32953	4380	151	13
19964	2519	81	13
41439	4223	141	10
40593	5854	189	14
36338	5429	181	15
39598	6359	205	16
42836	6378	206	15
40022	6722	224	17
47682	6258	202	13
