Epoca	Clorofila	Celulas	Turbidez	Fosforo	pH	DBO5	OD	IET
umido	1.092	381.89	7.5	0.02	6.68	1.24	4.9	47.2
seco	0.182	6592.43	2	0.04	7.16	1.63	5.7	47.6
umido	4.52871	80	4.7	0.01	6.95	1.92	7.6	48.4
seco	1.456	266.97	3.1	0.03	6.9	1.02	5.5	48.6
umido	1.96239	407094.02	4.6	0.012	6.94	1.7	6.9	49.5
umido	1.82	116.69	55	0.01	6.63	1.56	5	49.7
umido	3.74485	7724.83	6.1	0.018	6.64	1.9	5.5	52
seco	1.092	139102.56	13	0.042	6.84	2.7	5.3	52.1
umido	6.56945	436.7	6	0.022	7.48	3.8	8.8	53.2
seco	8.36881	7017.49	NA	0.025	4.6	4	4.2	54
seco	9.964	2357.89	NA	0.028	NA	2	5.1	54.7
seco	5.096	277.58	4.9	NA	7.1	2.06	4.4	54.7
umido	11.3967	3657.11	3.2	0.031	6.65	3.05	5.7	55.3
seco	11.3967	92735.04	NA	0.031	2.3	1	5.7	55.3
seco	6.188	492.39	3.5	NA	7.16	1	5.8	55.7
seco	2.548	6301.59	3.3	0.077	7.7	2.2	5.4	56
umido	6.916	203.32	4.5	NA	6.82	1.31	3.7	56.2
umido	13.8871	6417.84	3.5	0.037	6.58	3.8	5.1	56.3
umido	20.2	144871.79	5.4	0.018	7.88	4	6.4	56.7
seco	14.9845	60	NA	0.04	7.8	3	7.9	56.8
seco	8.008	53.04	2.7	0.02	7.15	1.33	5.5	56.9
umido	15.3321	68.51	15	0.041	6.55	1.88	4.7	57
umido	15.3321	1971.32	NA	0.041	6.9	4	5	57
seco	16.3261	2012	NA	0.044	6.98	3	5.9	57.4
umido	8.918	4650	20	0.06	6.66	1.42	4.5	57.5
umido	16.6424	68461.54	NA	0.045	7.02	2.5	7.3	57.5
umido	18.1254	576923.08	28	0.05	6.76	4.05	8.3	58.2
seco	10.56	7917.55	6.1	0.03	6.96	1.57	5.8	58.3
umido	19.7206	609.96	8.7	0.056	7.07	1	4.4	58.9
umido	19.9697	348974.36	9.3	0.057	6.88	3	6.5	59
seco	20.2145	43376.07	NA	0.058	7	4	5.8	59.1
umido	22.0333	468.52	NA	0.066	7	3	3.4	59.9
umido	14.56	564	5.8	0.05	7.03	1.09	5.8	59.9
seco	14.74	2853.55	8.6	0.08	7.64	2.12	7.6	59.9
seco	23.0612	40341.88	8.4	0.071	7.69	4.12	6.5	60.3
umido	23.0612	461.01	9.7	0.071	8.5	1	4.1	60.3
umido	16.2	12050.69	20	0.06	6.84	2.29	3.9	60.4
umido	23.8327	3383.95	5.6	0.075	6.57	1.69	3.3	60.6
umido	21.66	168547.01	6.3	0.062	7.27	3.25	5.6	60.6
seco	18.38	72505.68	5.7	0.03	7.17	2.46	7.5	61
seco	24.7411	100427.35	35	0.08	9.8	3.8	7	61
seco	25.0887	1814957.3	83	0.082	10.3	7.1	8.7	61.2
umido	25.2593	835.38	3.7	0.083	4.5	NA	4	61.2
umido	30.39	1311.41	4.4	0.066	6.77	2.7	5.7	61.7
seco	21.66	16919.76	5.7	0.08	7.52	1.78	4.9	61.8
seco	26.8605	150.28	2.3	0.093	7.12	1.24	5.5	61.9
seco	26.8605	8904.09	6.8	0.093	3.7	NA	5.8	61.9
umido	26.8605	645.32	6.9	0.093	7.6	NA	4.4	61.9
umido	24.21	139743.59	7.7	0.009	6.98	1.8	6.1	62.4
seco	28.5688	320662.39	7.9	0.105	6.8	3.6	4	62.7
seco	45.5	109401.71	9.1	0.073	6.98	5	3.9	63
seco	29.7263	26858.97	22	0.114	6.9	2.22	3.9	63.2
umido	30.4483	274.04	21	0.12	7.5	1.03	4.1	63.5
seco	34.22	4923.88	6.2	0.15	7.45	5.1	5.3	64.1
seco	32.0016	553162.39	38	0.134	9.49	11.2	5.2	64.1
seco	32.6181	1002.46	8.1	0.14	7.42	1.75	7.3	64.4
umido	35.0159	402.22	8.3	0.166	6.5	9.8	4.2	65.4
seco	35.1844	57.46	7.1	0.168	7.12	1.39	6.7	65.5
seco	57.15	588547.01	110	0.235	8.87	5.6	2.2	67.1
seco	38.04	500000	9.2	0.376	9.28	7.1	5.9	67.5
